COD_MOD,tabletas_prog,tabletas_recep,tabletas_asig_doc
216465,132,132,8
216473,61,61,4
216481,153,153,8
216499,7,7,1
216507,43,43,3
216515,65,65,3
216531,18,18,1
216549,21,21,1
216556,24,24,1
216564,2,2,1
216572,19,19,1
216580,7,7,1
216598,13,13,1
216606,130,130,6
216614,24,24,2
216630,16,16,2
216648,7,7,1
216655,43,43,4
216663,13,13,1
216671,27,27,2
269316,8,8,1
269324,8,8,1
269332,14,14,1
397018,152,152,6
397034,71,71,4
475731,15,15,1
487512,19,19,1
507269,246,246,13
516450,91,91,5
544759,198,198,12
570606,14,14,1
577924,99,99,6
622514,6,6,1
631325,8,8,1
660860,43,43,5
660951,16,16,1
661116,21,21,1
661165,2,2,1
724245,10,10,1
724252,7,7,1
734525,5,5,1
758060,310,310,15
760835,2,2,1
822833,19,19,1
822866,3,3,1
1170729,115,115,6
1170760,332,332,18
1171008,115,115,6
1171321,52,52,3
1171883,6,6,1
1187640,15,15,1
1250984,144,144,6
1252907,44,44,5
1332816,100,100,7
1444181,48,48,6
1445774,10,10,1
1635523,6,6,1
1637586,57,57,6
1637735,82,82,6
1646371,24,24,1
1781525,25,25,1
200188,8,8,1
200196,9,9,1
200204,8,8,1
200212,7,7,1
200485,9,9,1
200501,24,24,3
200527,13,13,2
200535,10,10,1
200543,6,6,1
200568,10,10,2
200576,16,16,1
200709,4,4,1
200717,7,7,1
200725,9,9,1
200733,3,3,1
200741,14,14,1
200758,56,56,10
200774,11,11,1
200808,13,13,0
200816,4,4,1
200980,11,11,1
201004,3,3,1
201012,5,5,2
201244,13,13,1
201251,5,5,1
201285,15,15,1
201368,16,16,3
237099,31,31,3
237107,22,22,1
237115,21,21,4
237123,3,3,1
237149,11,11,1
237156,70,70,7
237164,25,25,3
237172,49,49,5
237180,11,11,1
237206,63,63,8
237214,5,5,1
237230,42,42,3
237248,8,8,1
237255,62,62,5
237263,23,23,2
237297,26,26,1
237339,32,32,2
237347,9,9,1
237354,4,4,1
237362,23,23,1
237370,10,10,1
237396,4,4,1
237404,76,76,4
237412,7,7,1
237438,2,2,0
237479,5,5,1
237487,10,10,1
237503,5,5,1
237529,8,8,2
237545,83,83,3
237552,4,4,1
237560,14,14,1
237578,2,2,1
237586,6,6,1
237602,9,9,1
237610,9,9,1
237644,6,6,1
237651,3,3,1
237669,6,6,1
237677,18,18,3
237685,6,6,1
237693,8,8,1
237701,3,3,1
285619,7,7,1
285627,30,30,6
285650,90,90,5
504852,64,64,8
521948,4,4,1
527853,30,30,6
535617,156,156,13
535815,136,136,10
560805,13,13,1
